beginTime,Temp,TempType
42749.00,55.9,F
42749.04,,F
42749.08,,F
42749.13,,C
42749.17,,F
42749.21,,F
42749.25,,F
42749.29,,F
42749.33,,F
42749.38,,C
42749.42,,F
42749.46,,C
42749.50,,F
42749.54,,F
42749.58,,F
42749.63,,C
42749.67,,F
42749.71,,F
42749.75,,F
42749.79,,F
42749.83,,C
42749.88,,C
42749.92,,C
42749.96,,C
42750.00,,F
42750.04,,F
42750.08,,C
42750.13,,C
42750.17,,F
42750.21,,C
42750.25,,F
42750.29,,F
42750.33,,F
42750.38,,C
42750.42,,C
42750.46,,F
42750.50,,C
42750.54,,F
42750.58,,F
42750.63,,C
42750.67,,F
42750.71,,F
42750.75,,C
42750.79,,C
42750.83,,C
42750.88,,F
42750.92,,F
42750.96,50,F
42751.00,10,C
42751.04,10,C
42751.08,48.9,F
42751.13,48.9,F
42751.17,48.9,F
42751.21,48,F
42751.25,8.9,C
42751.29,8.9,C
42751.33,9.4,C
42751.38,11.1,C
42751.42,53.1,F
42751.46,55,F
42751.50,13.3,C
42751.54,57,F
42751.58,57,F
42751.63,13.3,C
42751.67,13.9,C
42751.71,12.2,C
42751.75,53.1,F
42751.79,50,F
42751.83,8.9,C
42751.88,48,F
42751.92,46.9,F
42751.96,7.8,C
42752.00,6.7,C
42752.04,6.7,C
42752.08,42.1,F
42752.13,42.1,F
42752.17,5,C
42752.21,5,C
42752.25,39.9,F
42752.29,4.4,C
42752.33,6.1,C
42752.38,46.9,F
42752.42,53.1,F
42752.46,57,F
42752.50,15.6,C
42752.54,63,F
42752.58,17.2,C
42752.63,63,F
42752.67,61,F
42752.71,57,F
42752.75,12.8,C
42752.79,12.2,C
42752.83,54,F
42752.88,12.2,C
42752.92,53.1,F
42752.96,51.1,F
42753.00,48.9,F
42753.04,46.9,F
42753.08,45,F
42753.13,6.7,C
42753.17,6.7,C
42753.21,42.1,F
42753.25,5.6,C
42753.29,42.1,F
42753.33,46,F
42753.38,51.1,F
42753.42,12.8,C
42753.46,57.9,F
42753.50,61,F
42753.54,16.7,C
42753.58,16.7,C
42753.63,62.1,F
42753.67,61,F
42753.71,59,F
42753.75,13.3,C
42753.79,12.8,C
42753.83,51.1,F
42753.88,50,F
42753.92,46.9,F
42753.96,46,F
42754.00,46,F
42754.04,6.1,C
42754.08,44.1,F
42754.13,44.1,F
42754.17,44.1,F
42754.21,44.1,F
42754.25,7.2,C
42754.29,7.8,C
42754.33,9.4,C
42754.38,9.4,C
42754.42,11.1,C
42754.46,54,F
42754.50,12.8,C
42754.54,57,F
42754.58,14.4,C
42754.63,15,C
42754.67,57.9,F
42754.71,55.9,F
42754.75,55.9,F
42754.79,57,F
42754.83,55,F
42754.88,55,F
42754.92,54,F
42754.96,12.2,C
42755.00,11.1,C
42755.04,10.6,C
42755.08,50,F
42755.13,10.6,C
42755.17,52,F
42755.21,10.6,C
42755.25,51.1,F
42755.29,50,F
42755.33,10.6,C
42755.38,53.1,F
42755.42,12.2,C
42755.46,13.3,C
42755.50,13.3,C
42755.54,13.3,C
42755.58,55,F
42755.63,55,F
42755.67,53.1,F
42755.71,52,F
42755.75,52,F
42755.79,11.1,C
42755.83,52,F
42755.88,52,F
42755.92,9.4,C
42755.96,50,F
